"","TEAM","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"1","AGU",735,125,216,36,0,29,121,70,147,10,21,11,12
"2","CAM",717,97,197,28,5,16,93,65,125,11,10,8,9
"3","DUR",777,141,249,50,7,19,133,81,151,15,12,10,10
"4","LAR",711,90,185,36,4,11,81,66,108,11,21,4,6
"5","LEO",760,140,233,48,4,27,128,84,127,14,12,10,3
"6","MTY",745,117,227,39,4,30,108,54,103,13,21,7,5
"7","MVA",739,117,211,43,1,16,110,82,119,15,8,6,8
"8","MXO",769,156,245,43,5,20,141,98,137,14,22,8,10
"9","OAX",781,132,236,42,4,20,125,75,164,13,15,6,5
"10","PUE",708,144,214,35,7,23,131,101,149,18,9,13,4
"11","QUI",734,118,221,49,2,17,113,70,137,15,6,9,2
"12","SLT",724,110,197,44,2,16,101,61,154,9,11,6,6
"13","TAB",720,83,201,37,5,9,79,44,122,17,7,4,10
"14","TIJ",761,141,225,46,2,30,133,109,147,11,41,7,4
"15","VAQ",719,91,189,38,6,16,82,62,155,6,14,6,12
"16","YUC",719,123,217,42,6,13,115,99,130,9,19,10,11
